t,soc_batt,V_batt,soc_fgic,V_fgic
81.250000,0.943576,4.039395,0.943938,4.039139
81.500000,0.943403,4.039229,0.943680,4.038807
81.750000,0.943229,4.039062,0.943545,4.038719
82.000000,0.943056,4.038895,0.943614,4.038885
82.250000,0.942882,4.038729,0.943602,4.038936
82.500000,0.942708,4.038562,0.943613,4.039063
82.750000,0.942535,4.038395,0.943205,4.038502
83.000000,0.942361,4.038229,0.943128,4.038535
83.250000,0.942187,4.038062,0.942554,4.037764
83.500000,0.942014,4.037895,0.942674,4.038084
83.750000,0.941840,4.037729,0.942404,4.037761
84.000000,0.941667,4.037562,0.942183,4.037539
84.250000,0.941493,4.037396,0.942272,4.037812
84.500000,0.941319,4.037229,0.941971,4.037508
84.750000,0.941146,4.037062,0.941674,4.037096
85.000000,0.940972,4.036896,0.941810,4.037342
85.250000,0.940799,4.036729,0.941548,4.037070
85.500000,0.940625,4.036562,0.941492,4.037051
85.750000,0.940451,4.036396,0.941045,4.036511
86.000000,0.940278,4.036229,0.941030,4.036566
86.250000,0.940104,4.036062,0.940630,4.036031
86.500000,0.939931,4.035896,0.940730,4.036319
86.750000,0.939757,4.035729,0.939992,4.035304
87.000000,0.939583,4.035563,0.939853,4.035236
87.250000,0.939410,4.035396,0.939641,4.035039
87.500000,0.939236,4.035229,0.939342,4.034745
87.750000,0.939062,4.035063,0.939427,4.034896
88.000000,0.938889,4.034896,0.939034,4.034436
88.250000,0.938715,4.034729,0.939073,4.034586
88.500000,0.938542,4.034563,0.939362,4.035036
88.750000,0.938368,4.034396,0.939088,4.034656
89.000000,0.938194,4.034229,0.939041,4.034679
89.250000,0.938021,4.034063,0.938639,4.034175
89.500000,0.937847,4.033896,0.938653,4.034290
89.750000,0.937674,4.033730,0.938022,4.033504
90.000000,0.937500,4.033563,0.937958,4.033515
90.250000,0.937326,4.033396,0.937771,4.033314
90.500000,0.937153,4.033230,0.937848,4.033498
90.750000,0.936979,4.033063,0.937362,4.032861
91.000000,0.936806,4.032896,0.937083,4.032597
91.250000,0.936632,4.032730,0.936884,4.032384
91.500000,0.936458,4.032563,0.937068,4.032743
91.750000,0.936285,4.032397,0.936573,4.032142
92.000000,0.936111,4.032230,0.936712,4.032487
92.250000,0.935937,4.032063,0.936666,4.032548
92.500000,0.935764,4.031897,0.936113,4.031848
92.750000,0.935590,4.031730,0.935693,4.031325
93.000000,0.935417,4.031563,0.936017,4.031809
93.250000,0.935243,4.031397,0.935595,4.031279
93.500000,0.935069,4.031230,0.935560,4.031341
93.750000,0.934896,4.031063,0.935108,4.030820
94.000000,0.934722,4.030897,0.935322,4.031177
94.250000,0.934549,4.030730,0.934652,4.030326
94.500000,0.934375,4.030564,0.934579,4.030330
94.750000,0.934201,4.030397,0.934524,4.030353
95.000000,0.934028,4.030230,0.934605,4.030530
95.250000,0.933854,4.030064,0.934074,4.029865
95.500000,0.933681,4.029897,0.933882,4.029681
95.750000,0.933507,4.029730,0.934032,4.030008
96.000000,0.933333,4.029564,0.933414,4.029193
96.250000,0.933160,4.029397,0.933393,4.029199
96.500000,0.932986,4.029231,0.933022,4.028776
96.750000,0.932812,4.029064,0.933019,4.028863
97.000000,0.932639,4.028897,0.933141,4.029062
97.250000,0.932465,4.028731,0.932583,4.028258
97.500000,0.932292,4.028564,0.932792,4.028713
97.750000,0.932118,4.028397,0.932867,4.028870
98.000000,0.931944,4.028231,0.932286,4.028137
98.250000,0.931771,4.028064,0.932341,4.028271
98.500000,0.931597,4.027898,0.931788,4.027560
98.750000,0.931424,4.027731,0.932199,4.028196
99.000000,0.931250,4.027564,0.931530,4.027322
99.250000,0.931076,4.027398,0.931696,4.027609
99.500000,0.930903,4.027231,0.931390,4.027292
99.750000,0.930729,4.027064,0.931259,4.027119
100.000000,0.930556,4.026898,0.931117,4.027063
100.250000,0.930382,4.026731,0.930668,4.026568
100.500000,0.930208,4.026565,0.930691,4.026717
100.750000,0.930035,4.026398,0.930346,4.026247
101.000000,0.929861,4.026231,0.930439,4.026529
101.250000,0.929687,4.026065,0.930135,4.026166
101.500000,0.929514,4.025898,0.930211,4.026402
101.750000,0.929340,4.025731,0.929937,4.026010
102.000000,0.929167,4.025565,0.929974,4.026074
102.250000,0.928993,4.025398,0.929776,4.025851
102.500000,0.928819,4.025232,0.928958,4.024786
102.750000,0.928646,4.025065,0.928825,4.024670
103.000000,0.928472,4.024898,0.928892,4.024792
103.250000,0.928299,4.024732,0.928588,4.024427
103.500000,0.928125,4.024565,0.928515,4.024343
103.750000,0.927951,4.024398,0.928669,4.024659
104.000000,0.927778,4.024232,0.928667,4.024666
104.250000,0.927604,4.024065,0.928445,4.024399
104.500000,0.927431,4.023899,0.928169,4.024148
104.750000,0.927257,4.023732,0.927665,4.023567
105.000000,0.927083,4.023565,0.927695,4.023674
105.250000,0.926910,4.023399,0.927281,4.023108
105.500000,0.926736,4.023232,0.927008,4.022831
105.750000,0.926562,4.023065,0.927230,4.023239
106.000000,0.926389,4.022899,0.926974,4.023030
106.250000,0.926215,4.022732,0.926428,4.022355
106.500000,0.926042,4.022566,0.926204,4.022169
106.750000,0.925868,4.022399,0.926482,4.022721
107.000000,0.925694,4.022232,0.926451,4.022712
107.250000,0.925521,4.022066,0.925677,4.021693
107.500000,0.925347,4.021899,0.926022,4.022207
107.750000,0.925174,4.021732,0.925771,4.021911
108.000000,0.925000,4.021566,0.925149,4.021131
108.250000,0.924826,4.021399,0.925338,4.021509
108.500000,0.924653,4.021233,0.925219,4.021385
108.750000,0.924479,4.021066,0.925247,4.021546
109.000000,0.924306,4.020899,0.924534,4.020584
109.250000,0.924132,4.020733,0.924441,4.020492
109.500000,0.923958,4.020566,0.924799,4.021040
109.750000,0.923785,4.020400,0.924195,4.020227
110.000000,0.923611,4.020233,0.923997,4.019995
110.250000,0.923437,4.020066,0.924204,4.020388
110.500000,0.923264,4.019900,0.923520,4.019503
110.750000,0.923090,4.019733,0.923595,4.019722
111.000000,0.922917,4.019566,0.923149,4.019231
111.250000,0.922743,4.019400,0.923121,4.019299
111.500000,0.922569,4.019233,0.923356,4.019675
111.750000,0.922396,4.019067,0.923006,4.019282
112.000000,0.922222,4.018900,0.922727,4.018946
112.250000,0.922049,4.018733,0.922334,4.018406
112.500000,0.921875,4.018567,0.922648,4.018987
112.750000,0.921701,4.018400,0.922107,4.018288
113.000000,0.921528,4.018233,0.922180,4.018507
113.250000,0.921354,4.018067,0.921563,4.017735
113.500000,0.921181,4.017900,0.921461,4.017633
113.750000,0.921007,4.017734,0.921581,4.017823
114.000000,0.920833,4.017567,0.921193,4.017417
114.250000,0.920660,4.017400,0.921184,4.017510
114.500000,0.920486,4.017234,0.920762,4.016913
114.750000,0.920312,4.017067,0.920472,4.016596
115.000000,0.920139,4.016901,0.920441,4.016677
115.250000,0.919965,4.016734,0.920560,4.016953
115.500000,0.919792,4.016567,0.919885,4.016093
115.750000,0.919618,4.016401,0.919839,4.016152
116.000000,0.919444,4.016234,0.920211,4.016729
116.250000,0.919271,4.016067,0.919965,4.016466
116.500000,0.919097,4.015901,0.919809,4.016334
116.750000,0.918924,4.015734,0.919165,4.015506
117.000000,0.918750,4.015568,0.918971,4.015233
