t,V_batt,V_fgic
115.000000,4.016901,4.017250
115.250000,4.016734,4.016759
115.500000,4.016567,4.016573
115.750000,4.016401,4.016022
116.000000,4.016234,4.015822
116.250000,4.016067,4.015676
116.500000,4.015901,4.015738
116.750000,4.015734,4.015752
117.000000,4.015568,4.015495
117.250000,4.015401,4.015148
117.500000,4.015234,4.015222
117.750000,4.015068,4.015555
118.000000,4.014901,4.015086
118.250000,4.014735,4.014846
118.500000,4.014568,4.014650
118.750000,4.014401,4.014428
119.000000,4.014235,4.014640
119.250000,4.014068,4.014497
119.500000,4.013901,4.014280
119.750000,4.013735,4.013916
120.000000,4.013568,4.013231
120.250000,4.013402,4.013071
120.500000,4.013235,4.012803
120.750000,4.013068,4.012997
121.000000,4.012902,4.013346
121.250000,4.012735,4.012260
121.500000,4.012569,4.012794
121.750000,4.012402,4.012290
122.000000,4.012235,4.012446
122.250000,4.012069,4.012025
122.500000,4.011902,4.011871
122.750000,4.011736,4.011822
123.000000,4.011569,4.011394
123.250000,4.011402,4.011083
123.500000,4.011236,4.011000
123.750000,4.011069,4.011222
124.000000,4.010902,4.010848
124.250000,4.010736,4.011207
124.500000,4.010569,4.010805
124.750000,4.010403,4.010060
125.000000,4.010236,4.010208
125.250000,4.061449,4.061108
125.500000,4.062767,4.062461
125.750000,4.064034,4.063787
126.000000,4.065253,4.065690
126.250000,4.066424,4.066743
126.500000,4.067551,4.067466
126.750000,4.068635,4.068756
127.000000,4.069677,4.069534
127.250000,4.070679,4.070669
127.500000,4.071643,4.071834
127.750000,4.072570,4.072184
128.000000,4.073462,4.073879
128.250000,4.074319,4.073979
128.500000,4.075143,4.074903
128.750000,4.075936,4.075586
129.000000,4.076698,4.077046
129.250000,4.077432,4.076998
129.500000,4.078137,4.077822
129.750000,4.078815,4.079219
130.000000,4.079467,4.079637
130.250000,4.080094,4.080536
130.500000,4.080697,4.080493
130.750000,4.081277,4.080825
131.000000,4.081835,4.081703
131.250000,4.082371,4.082382
131.500000,4.082887,4.082505
131.750000,4.083383,4.083511
132.000000,4.083860,4.084360
132.250000,4.084319,4.084779
132.500000,4.084760,4.084915
132.750000,4.085185,4.085232
133.000000,4.085593,4.085878
133.250000,4.085985,4.086038
133.500000,4.086362,4.085956
133.750000,4.086725,4.086558
134.000000,4.087074,4.086655
134.250000,4.087410,4.087653
134.500000,4.087733,4.088164
134.750000,4.088043,4.088533
135.000000,4.088342,4.088241
135.250000,4.088629,4.088968
135.500000,4.088905,4.088820
135.750000,4.089170,4.088704
136.000000,4.089426,4.089771
136.250000,4.089671,4.089269
136.500000,4.089907,4.090341
136.750000,4.090134,4.089824
137.000000,4.090353,4.090774
137.250000,4.090563,4.090369
137.500000,4.090765,4.090503
137.750000,4.090959,4.090836
138.000000,4.091146,4.091301
138.250000,4.091325,4.091183
138.500000,4.091498,4.091521
138.750000,4.091664,4.091672
139.000000,4.091824,4.092136
139.250000,4.091978,4.092023
139.500000,4.092125,4.091950
139.750000,4.092267,4.091907
140.000000,4.092404,4.092844
140.250000,4.092535,4.092407
140.500000,4.092662,4.093133
140.750000,4.092783,4.092798
141.000000,4.092900,4.092944
141.250000,4.093013,4.092657
141.500000,4.093121,4.093257
141.750000,4.093225,4.092818
142.000000,4.093325,4.093072
142.250000,4.093421,4.092940
142.500000,4.093513,4.093402
142.750000,4.093602,4.093846
143.000000,4.093688,4.094104
143.250000,4.093770,4.093579
143.500000,4.093849,4.094298
143.750000,4.093925,4.094093
144.000000,4.093998,4.094054
144.250000,4.094068,4.094104
144.500000,4.094136,4.094423
144.750000,4.094201,4.093922
145.000000,4.094264,4.093898
145.250000,4.094324,4.094579
145.500000,4.094382,4.094333
145.750000,4.094437,4.094804
146.000000,4.094491,4.094340
146.250000,4.094542,4.094455
146.500000,4.094592,4.094644
146.750000,4.094639,4.094712
147.000000,4.094685,4.095194
147.250000,4.094729,4.094404
147.500000,4.094771,4.094472
147.750000,4.094812,4.094329
148.000000,4.094851,4.095336
148.250000,4.094889,4.094456
148.500000,4.094925,4.095191
148.750000,4.094960,4.095076
149.000000,4.094993,4.095247
149.250000,4.095025,4.095328
149.500000,4.095056,4.095405
149.750000,4.095086,4.094713
150.000000,4.095115,4.095263
150.250000,4.095142,4.095433
150.500000,4.095169,4.094957
150.750000,4.095194,4.094741
151.000000,4.095219,4.095086
151.250000,4.095242,4.094930
151.500000,4.095265,4.094931
151.750000,4.095287,4.095636
152.000000,4.095308,4.095570
152.250000,4.095328,4.095510
152.500000,4.095347,4.095668
152.750000,4.095366,4.095167
153.000000,4.095384,4.095753
153.250000,4.095401,4.095868
153.500000,4.095417,4.095368
153.750000,4.095433,4.095593
154.000000,4.095449,4.095945
154.250000,4.095463,4.095968
154.500000,4.095478,4.095223
154.750000,4.095491,4.095712
155.000000,4.095504,4.095598
155.250000,4.095517,4.095073
155.500000,4.095529,4.095144
155.750000,4.095541,4.095786
156.000000,4.095552,4.096056
156.250000,4.095563,4.095710
156.500000,4.095573,4.095355
156.750000,4.095583,4.095733
157.000000,4.095593,4.095639
157.250000,4.095602,4.095910
