t,I_batt,Tau_batt,Tau_fgic,C1_batt,C1_fgic
76.500000,2.000000,6.623109,6.623706,1542.503171,1543.919983
76.750000,2.000000,6.623170,6.624743,1542.642070,1546.363659
77.000000,2.000000,6.623231,6.624860,1542.780969,1546.644863
77.250000,2.000000,6.623291,6.623857,1542.919868,1544.271225
77.500000,2.000000,6.623352,6.624498,1543.058768,1545.779862
77.750000,2.000000,6.623412,6.624551,1543.197667,1545.907082
78.000000,2.000000,6.623472,6.624580,1543.336566,1545.976145
78.250000,2.000000,6.623532,6.624954,1543.475465,1546.868206
78.500000,2.000000,6.623592,6.624088,1543.614365,1544.808533
78.750000,2.000000,6.623652,6.624139,1543.753264,1544.930294
79.000000,2.000000,6.623712,6.624886,1543.892163,1546.703430
79.250000,2.000000,6.623772,6.625009,1544.031062,1546.999716
79.500000,2.000000,6.623832,6.625235,1544.169962,1547.543387
79.750000,2.000000,6.623891,6.624986,1544.308861,1546.941004
80.000000,2.000000,6.623951,6.624477,1544.447760,1545.723517
80.250000,2.000000,6.624010,6.624555,1544.586659,1545.907782
80.500000,2.000000,6.624069,6.624971,1544.725559,1546.905143
80.750000,2.000000,6.624128,6.624962,1544.864458,1546.881765
81.000000,2.000000,6.624187,6.624817,1545.003357,1546.535317
81.250000,2.000000,6.624246,6.625145,1545.142256,1547.323690
81.500000,2.000000,6.624305,6.624837,1545.281155,1546.581977
81.750000,2.000000,6.624364,6.625562,1545.420055,1548.335152
82.000000,2.000000,6.624423,6.625037,1545.558954,1547.062146
82.250000,2.000000,6.624481,6.624885,1545.697853,1546.697584
82.500000,2.000000,6.624540,6.625922,1545.836752,1549.224340
82.750000,2.000000,6.624598,6.625822,1545.975652,1548.975852
83.000000,2.000000,6.624657,6.625992,1546.114551,1549.398001
83.250000,2.000000,6.624715,6.625411,1546.253450,1547.969117
83.500000,2.000000,6.624773,6.626052,1546.392349,1549.544815
83.750000,2.000000,6.624831,6.625584,1546.531249,1548.392069
84.000000,2.000000,6.624889,6.625282,1546.670148,1547.653101
84.250000,2.000000,6.624947,6.625300,1546.809047,1547.698190
84.500000,2.000000,6.625004,6.625466,1546.947946,1548.102952
84.750000,2.000000,6.625062,6.625647,1547.086846,1548.547343
85.000000,2.000000,6.625120,6.626000,1547.225745,1549.415404
85.250000,2.000000,6.625177,6.625943,1547.364644,1549.275499
85.500000,2.000000,6.625234,6.626197,1547.503543,1549.908290
85.750000,2.000000,6.625292,6.626189,1547.642443,1549.889405
86.000000,2.000000,6.625349,6.625631,1547.781342,1548.507571
86.250000,2.000000,6.625406,6.625923,1547.920241,1549.226020
86.500000,2.000000,6.625463,6.625919,1548.059140,1549.216735
86.750000,2.000000,6.625520,6.626428,1548.198039,1550.486603
87.000000,2.000000,6.625576,6.625740,1548.336939,1548.776663
87.250000,2.000000,6.625633,6.626166,1548.475838,1549.831205
87.500000,2.000000,6.625690,6.625875,1548.614737,1549.109016
87.750000,2.000000,6.625746,6.626340,1548.753636,1550.264642
88.000000,2.000000,6.625802,6.626498,1548.892536,1550.663712
88.250000,2.000000,6.625859,6.626929,1549.031435,1551.758116
88.500000,2.000000,6.625915,6.626897,1549.170334,1551.674444
88.750000,2.000000,6.625971,6.626708,1549.309233,1551.195710
89.000000,2.000000,6.626027,6.626977,1549.448133,1551.879298
89.250000,2.000000,6.626083,6.626697,1549.587032,1551.165995
89.500000,2.000000,6.626139,6.626752,1549.725931,1551.304525
89.750000,2.000000,6.626194,6.627491,1549.864830,1553.203875
90.000000,2.000000,6.626250,6.626583,1550.003729,1550.875936
90.250000,2.000000,6.626305,6.627604,1550.142629,1553.497674
